Time: 3.824281; Position: (0.0, 0.0, 0.0); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 4.339076; Position: (0.0, 0.1, 0.1); Rotation: (0.2, 0.0, 0.0, 1.0)
Time: 4.85558; Position: (0.0, 0.0, 0.1); Rotation: (0.2, 0.0, 0.0, 1.0)
Time: 5.355762; Position: (0.0, 0.0, 0.1); Rotation: (0.2, 0.0, 0.0, 1.0)
Time: 5.855967; Position: (0.0, 0.0, 0.1); Rotation: (0.2, 0.0, 0.0, 1.0)
Time: 6.35633; Position: (0.0, 0.0, 0.1); Rotation: (0.2, 0.0, 0.0, 1.0)
Time: 6.872883; Position: (0.0, 0.0, 0.1); Rotation: (0.2, 0.0, 0.0, 1.0)
Time: 7.389507; Position: (0.0, 0.0, 0.1); Rotation: (0.2, 0.0, 0.0, 1.0)
Time: 7.906086; Position: (0.0, 0.0, 0.1); Rotation: (0.2, 0.0, 0.0, 1.0)
Time: 8.406289; Position: (0.0, 0.0, 0.1); Rotation: (0.2, 0.0, 0.0, 1.0)
Time: 8.906615; Position: (0.0, 0.0, 0.1); Rotation: (0.2, 0.0, 0.0, 1.0)
Time: 9.423007; Position: (0.0, 0.0, 0.1); Rotation: (0.2, 0.0, 0.0, 1.0)
Time: 9.939115; Position: (0.0, 0.0, 0.1); Rotation: (0.2, 0.0, 0.0, 1.0)
Time: 10.43946; Position: (0.0, 0.0, 0.1); Rotation: (0.2, 0.0, 0.0, 1.0)
Time: 10.93968; Position: (0.0, 0.0, 0.1); Rotation: (0.3, 0.0, 0.0, 0.9)
Time: 11.45639; Position: (0.0, 0.0, 0.1); Rotation: (0.3, 0.0, 0.0, 1.0)
Time: 11.97266; Position: (0.0, 0.1, 0.1); Rotation: (0.1, 0.0, 0.0, 1.0)
Time: 12.47293; Position: (0.0, 0.1, 0.1); Rotation: (0.1, 0.0, 0.0, 1.0)
Time: 12.98989; Position: (0.0, 0.0, 0.1); Rotation: (0.3, 0.1, -0.1, 0.9)
Time: 13.50624; Position: (0.0, 0.0, 0.1); Rotation: (0.3, 0.2, -0.1, 0.9)
Time: 14.00743; Position: (0.0, 0.0, 0.2); Rotation: (0.4, 0.1, -0.1, 0.9)
Time: 14.52287; Position: (0.1, 0.0, 0.2); Rotation: (0.3, 0.3, -0.1, 0.9)
Time: 15.02291; Position: (0.3, 0.0, 0.2); Rotation: (0.3, 0.3, -0.1, 0.9)
Time: 15.53957; Position: (0.4, 0.0, 0.3); Rotation: (0.3, 0.3, -0.1, 0.9)
Time: 16.05614; Position: (0.5, 0.0, 0.5); Rotation: (0.3, 0.3, -0.1, 0.9)
Time: 16.55641; Position: (0.5, 0.0, 0.5); Rotation: (0.3, 0.3, -0.1, 0.9)
Time: 17.05661; Position: (0.6, 0.0, 0.5); Rotation: (0.4, 0.3, -0.2, 0.9)
Time: 17.57289; Position: (0.6, 0.0, 0.6); Rotation: (0.4, 0.2, -0.1, 0.9)
Time: 18.07297; Position: (0.5, 0.0, 0.6); Rotation: (0.4, 0.2, -0.1, 0.9)
Time: 18.58949; Position: (0.5, 0.0, 0.6); Rotation: (0.4, 0.2, -0.1, 0.9)
Time: 19.08999; Position: (0.5, 0.0, 0.6); Rotation: (0.4, 0.2, -0.1, 0.9)
Time: 19.60625; Position: (0.6, 0.0, 0.5); Rotation: (0.3, 0.4, -0.1, 0.9)
Time: 20.1227; Position: (0.9, 0.0, 0.4); Rotation: (0.3, 0.4, -0.2, 0.8)
Time: 20.62305; Position: (1.1, 0.0, 0.3); Rotation: (0.3, 0.4, -0.2, 0.8)
Time: 21.13977; Position: (1.3, 0.0, 0.5); Rotation: (0.3, 0.4, -0.2, 0.9)
Time: 21.65578; Position: (1.6, 0.0, 0.5); Rotation: (0.3, 0.3, -0.2, 0.9)
Time: 22.15661; Position: (1.8, 0.0, 0.5); Rotation: (0.3, 0.2, -0.2, 0.9)
Time: 22.67311; Position: (1.9, 0.0, 0.7); Rotation: (0.3, 0.3, -0.1, 0.9)
Time: 23.17335; Position: (2.0, 0.0, 0.7); Rotation: (0.3, 0.3, -0.1, 0.9)
Time: 23.68941; Position: (2.1, 0.0, 0.7); Rotation: (0.3, 0.3, -0.1, 0.9)
Time: 24.19047; Position: (2.3, 0.0, 0.8); Rotation: (0.4, 0.1, -0.1, 0.9)
Time: 24.70658; Position: (2.3, 0.0, 0.8); Rotation: (0.4, 0.1, -0.1, 0.9)
Time: 25.20664; Position: (2.3, 0.0, 0.9); Rotation: (0.5, 0.1, -0.1, 0.9)
Time: 25.72509; Position: (2.3, 0.0, 0.9); Rotation: (0.5, 0.1, -0.1, 0.9)
Time: 26.23952; Position: (2.3, 0.0, 0.9); Rotation: (0.4, 0.2, -0.1, 0.9)
Time: 26.75622; Position: (2.3, 0.0, 0.9); Rotation: (0.3, 0.2, -0.1, 0.9)
Time: 27.25648; Position: (2.2, 0.0, 0.8); Rotation: (0.3, 0.3, -0.1, 0.9)
Time: 27.7565; Position: (2.3, 0.0, 0.8); Rotation: (0.3, 0.4, -0.2, 0.8)
Time: 28.25653; Position: (2.2, 0.0, 0.8); Rotation: (0.2, 0.6, -0.2, 0.8)
Time: 28.75693; Position: (2.3, 0.0, 0.6); Rotation: (0.2, 0.6, -0.2, 0.8)
Time: 29.25765; Position: (2.3, 0.0, 0.5); Rotation: (0.3, 0.5, -0.3, 0.8)
Time: 29.77283; Position: (2.3, 0.0, 0.5); Rotation: (0.3, 0.5, -0.3, 0.7)
Time: 30.27319; Position: (2.1, 0.0, 0.6); Rotation: (0.2, 0.5, -0.3, 0.8)
Time: 30.78975; Position: (2.0, 0.0, 0.6); Rotation: (0.2, 0.4, -0.2, 0.9)
Time: 31.3066; Position: (2.0, 0.0, 0.6); Rotation: (0.3, 0.5, -0.3, 0.8)
Time: 31.82497; Position: (2.0, 0.0, 0.5); Rotation: (0.2, 0.7, -0.3, 0.6)
Time: 32.33974; Position: (2.1, 0.0, 0.5); Rotation: (0.1, 0.8, -0.2, 0.6)
