Time: 3.830431; Position: (0.0, 0.0, 0.0); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 4.339533; Position: (0.0, 0.1, 0.1); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 4.839638; Position: (0.0, 0.1, 0.1); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 5.339813; Position: (0.0, 0.1, 0.1); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 5.856444; Position: (0.0, 0.1, 0.1); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 6.373004; Position: (0.0, 0.1, 0.1); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 6.88928; Position: (0.0, 0.1, 0.1); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 7.405978; Position: (0.0, 0.1, 0.1); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 7.906131; Position: (0.0, 0.1, 0.1); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 8.422862; Position: (0.0, 0.1, 0.1); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 8.939586; Position: (0.0, 0.1, 0.1); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 9.456601; Position: (0.0, 0.1, 0.1); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 9.973223; Position: (0.0, 0.1, 0.1); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 10.48944; Position: (0.0, 0.1, 0.1); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 10.98979; Position: (0.0, 0.1, 0.1); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 11.50622; Position: (0.0, 0.1, 0.1); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 12.00638; Position: (0.0, 0.1, 0.1); Rotation: (0.1, 0.0, 0.0, 1.0)
Time: 12.52287; Position: (0.0, 0.1, 0.1); Rotation: (0.1, 0.0, 0.0, 1.0)
Time: 13.02319; Position: (0.0, 0.1, 0.1); Rotation: (0.1, 0.0, 0.0, 1.0)
Time: 13.54002; Position: (0.0, 0.1, 0.1); Rotation: (0.1, 0.0, 0.0, 1.0)
Time: 14.05685; Position: (0.0, 0.1, 0.1); Rotation: (0.1, 0.0, 0.0, 1.0)
