Time: 3.505292; Position: (0.0, 0.0, 0.0); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 4.009377; Position: (0.0, 0.0, 0.1); Rotation: (0.2, 0.0, 0.0, 1.0)
Time: 4.509417; Position: (0.0, 0.0, 0.1); Rotation: (0.3, 0.0, 0.0, 1.0)
Time: 5.026073; Position: (0.0, 0.0, 0.1); Rotation: (0.3, 0.0, 0.0, 0.9)
Time: 5.542691; Position: (0.0, 0.0, 0.1); Rotation: (0.3, 0.0, 0.0, 0.9)
Time: 6.043087; Position: (0.0, 0.0, 0.1); Rotation: (0.3, 0.0, 0.0, 0.9)
Time: 6.54342; Position: (0.0, 0.0, 0.1); Rotation: (0.3, -0.2, 0.0, 0.9)
Time: 7.060435; Position: (-0.1, 0.0, 0.1); Rotation: (0.3, -0.3, 0.0, 0.9)
Time: 7.575829; Position: (-0.1, 0.0, 0.1); Rotation: (0.3, -0.3, 0.0, 0.9)
Time: 8.075871; Position: (-0.1, 0.0, 0.1); Rotation: (0.3, -0.3, 0.0, 0.9)
Time: 8.576529; Position: (-0.1, 0.0, 0.1); Rotation: (0.3, -0.3, 0.0, 0.9)
Time: 9.076648; Position: (-0.1, 0.1, 0.1); Rotation: (0.1, -0.4, 0.0, 0.9)
Time: 9.59234; Position: (-0.1, 0.1, 0.1); Rotation: (0.1, -0.4, 0.0, 0.9)
Time: 10.09282; Position: (-0.1, 0.1, 0.1); Rotation: (0.1, -0.4, 0.0, 0.9)
Time: 10.60894; Position: (-0.1, 0.1, 0.1); Rotation: (0.1, -0.4, 0.0, 0.9)
Time: 11.1096; Position: (-0.1, 0.1, 0.1); Rotation: (0.0, -0.4, 0.0, 0.9)
Time: 11.62586; Position: (-0.1, 0.1, 0.1); Rotation: (0.0, -0.4, 0.0, 0.9)
Time: 12.14249; Position: (-0.1, 0.1, 0.1); Rotation: (0.0, -0.4, 0.0, 0.9)
Time: 12.64258; Position: (-0.1, 0.1, 0.1); Rotation: (0.0, -0.4, 0.0, 0.9)
Time: 13.15944; Position: (-0.1, 0.1, 0.1); Rotation: (0.0, -0.4, 0.0, 0.9)
Time: 13.67559; Position: (-0.1, 0.1, 0.1); Rotation: (0.0, -0.4, 0.0, 0.9)
Time: 14.17627; Position: (0.0, 0.1, 0.1); Rotation: (0.1, -0.2, 0.0, 1.0)
Time: 14.69233; Position: (0.0, 0.1, 0.1); Rotation: (0.0, 0.2, 0.0, 1.0)
Time: 15.19278; Position: (0.0, 0.1, 0.1); Rotation: (-0.1, 0.2, 0.0, 1.0)
Time: 15.70921; Position: (0.0, 0.1, 0.1); Rotation: (-0.1, 0.1, 0.0, 1.0)
Time: 16.22569; Position: (0.0, 0.1, 0.1); Rotation: (-0.1, 0.1, 0.0, 1.0)
Time: 16.72627; Position: (0.0, 0.1, 0.1); Rotation: (0.0, 0.2, -0.1, 1.0)
Time: 17.22676; Position: (0.0, 0.0, 0.1); Rotation: (0.2, 0.4, -0.1, 0.9)
Time: 17.74314; Position: (0.1, 0.0, 0.1); Rotation: (0.2, 0.4, -0.1, 0.9)
Time: 18.26012; Position: (0.2, 0.1, 0.1); Rotation: (0.0, 0.5, -0.1, 0.9)
Time: 18.76015; Position: (0.1, 0.1, 0.1); Rotation: (0.0, 0.7, 0.0, 0.7)
Time: 19.27612; Position: (0.0, 0.1, 0.0); Rotation: (0.0, 0.8, 0.0, 0.6)
Time: 19.79254; Position: (0.0, 0.1, 0.0); Rotation: (0.0, 0.8, 0.0, 0.6)
Time: 20.2967; Position: (0.0, 0.1, -0.1); Rotation: (0.0, 0.8, -0.1, 0.7)
Time: 20.80973; Position: (0.0, 0.1, -0.1); Rotation: (0.0, 0.8, -0.1, 0.6)
Time: 21.30982; Position: (0.0, 0.0, -0.1); Rotation: (0.1, 0.8, -0.1, 0.6)
Time: 21.81042; Position: (0.0, 0.1, -0.1); Rotation: (0.0, 0.9, 0.0, 0.5)
Time: 22.32646; Position: (0.0, 0.1, -0.1); Rotation: (0.0, 0.9, 0.0, 0.3)
Time: 22.84275; Position: (-0.1, 0.1, -0.2); Rotation: (0.0, 1.0, 0.0, 0.3)
Time: 23.35938; Position: (-0.1, 0.1, -0.2); Rotation: (0.0, 1.0, 0.0, 0.3)
Time: 23.85968; Position: (-0.1, 0.0, -0.2); Rotation: (0.0, 0.9, 0.0, 0.3)
Time: 24.35982; Position: (-0.1, 0.0, -0.2); Rotation: (0.0, 1.0, -0.1, 0.3)
Time: 24.85984; Position: (-0.2, 0.0, -0.1); Rotation: (0.0, 0.9, -0.3, 0.2)
Time: 25.36083; Position: (-0.2, 0.0, -0.1); Rotation: (0.0, 0.9, -0.4, 0.2)
Time: 25.8762; Position: (-0.3, 0.0, -0.1); Rotation: (0.0, 0.9, -0.5, 0.1)
Time: 26.3926; Position: (-0.4, 0.0, -0.2); Rotation: (-0.1, 0.9, -0.4, -0.1)
Time: 26.893; Position: (-0.4, 0.0, -0.2); Rotation: (-0.1, 0.9, -0.3, -0.1)
Time: 27.39313; Position: (-0.4, 0.0, -0.2); Rotation: (-0.1, 1.0, -0.2, -0.1)
Time: 27.90946; Position: (-0.4, 0.0, -0.2); Rotation: (0.0, 1.0, -0.2, 0.2)
Time: 28.40948; Position: (-0.3, 0.0, -0.1); Rotation: (0.1, 0.8, -0.2, 0.5)
Time: 28.90995; Position: (-0.2, 0.0, 0.0); Rotation: (0.2, 0.5, -0.2, 0.8)
Time: 29.42744; Position: (-0.1, 0.0, 0.1); Rotation: (0.3, 0.2, -0.2, 0.9)
Time: 29.94281; Position: (-0.1, 0.0, 0.0); Rotation: (0.3, 0.1, -0.1, 0.9)
Time: 30.44293; Position: (-0.2, 0.0, 0.1); Rotation: (0.3, 0.1, -0.1, 0.9)
Time: 30.95919; Position: (-0.3, 0.0, 0.1); Rotation: (0.3, 0.1, -0.1, 0.9)
Time: 31.45969; Position: (-0.4, 0.0, 0.1); Rotation: (0.4, 0.0, -0.1, 0.9)
Time: 31.96029; Position: (-0.4, 0.0, 0.1); Rotation: (0.3, -0.1, 0.0, 0.9)
Time: 32.47589; Position: (-0.4, 0.0, 0.1); Rotation: (0.3, 0.0, 0.0, 1.0)
Time: 32.9765; Position: (-0.4, 0.0, 0.1); Rotation: (0.3, 0.0, 0.0, 1.0)
Time: 33.47654; Position: (-0.4, 0.0, 0.1); Rotation: (0.3, 0.0, 0.0, 1.0)
Time: 33.99287; Position: (-0.4, 0.0, 0.1); Rotation: (0.4, 0.1, 0.0, 0.9)
Time: 34.50944; Position: (-0.4, 0.0, 0.1); Rotation: (0.4, 0.1, 0.0, 0.9)
Time: 35.0096; Position: (-0.4, 0.0, 0.1); Rotation: (0.4, 0.1, 0.0, 0.9)
Time: 35.51025; Position: (-0.4, 0.0, 0.2); Rotation: (0.3, 0.1, 0.0, 0.9)
Time: 36.02643; Position: (-0.3, 0.0, 0.4); Rotation: (0.3, 0.1, 0.0, 0.9)
Time: 36.54251; Position: (-0.2, 0.0, 0.7); Rotation: (0.3, 0.0, 0.0, 0.9)
Time: 37.04365; Position: (-0.3, 0.0, 0.7); Rotation: (0.3, 0.0, 0.0, 0.9)
Time: 37.55955; Position: (-0.4, 0.0, 0.7); Rotation: (0.4, 0.1, -0.1, 0.9)
Time: 38.05981; Position: (-0.4, 0.0, 0.6); Rotation: (0.4, 0.3, -0.1, 0.9)
Time: 38.55983; Position: (-0.3, 0.0, 0.4); Rotation: (0.3, 0.3, -0.2, 0.9)
Time: 39.06033; Position: (-0.2, 0.0, 0.2); Rotation: (0.3, 0.3, -0.2, 0.9)
Time: 39.57635; Position: (-0.2, 0.0, 0.1); Rotation: (0.2, 0.7, -0.2, 0.7)
Time: 40.07706; Position: (-0.1, 0.0, 0.0); Rotation: (0.1, 0.8, -0.2, 0.5)
Time: 40.59271; Position: (-0.1, 0.0, 0.0); Rotation: (0.1, 0.9, -0.3, 0.1)
Time: 41.09333; Position: (-0.2, 0.0, -0.1); Rotation: (0.0, 0.9, -0.4, -0.2)
Time: 41.60975; Position: (-0.4, 0.0, -0.1); Rotation: (-0.1, 0.9, -0.4, -0.2)
Time: 42.10995; Position: (-0.6, 0.0, -0.2); Rotation: (0.0, 0.9, -0.4, -0.1)
Time: 42.62609; Position: (-0.6, 0.0, 0.0); Rotation: (0.0, 0.9, -0.4, -0.1)
Time: 43.12613; Position: (-0.6, 0.0, 0.1); Rotation: (0.0, 0.9, -0.4, -0.1)
Time: 43.64271; Position: (-0.6, 0.0, 0.1); Rotation: (0.0, 0.9, -0.4, -0.1)
Time: 44.14314; Position: (-0.6, 0.0, 0.1); Rotation: (0.0, 0.9, -0.4, -0.1)
Time: 44.65943; Position: (-0.6, 0.0, 0.1); Rotation: (0.0, 0.9, -0.4, 0.0)
Time: 45.16113; Position: (-0.5, 0.0, 0.2); Rotation: (0.0, 0.9, -0.2, 0.4)
Time: 45.67644; Position: (-0.5, 0.0, 0.2); Rotation: (0.0, 0.9, -0.2, 0.5)
Time: 46.19287; Position: (-0.5, 0.0, 0.2); Rotation: (0.0, 0.9, -0.2, 0.5)
Time: 46.69308; Position: (-0.5, 0.0, 0.2); Rotation: (0.0, 0.9, -0.2, 0.5)
Time: 47.19333; Position: (-0.5, 0.0, 0.2); Rotation: (0.0, 0.9, -0.2, 0.5)
Time: 47.71002; Position: (-0.4, 0.0, 0.2); Rotation: (0.1, 0.8, -0.2, 0.5)
Time: 48.21035; Position: (-0.3, 0.0, 0.1); Rotation: (0.1, 0.8, -0.2, 0.5)
Time: 48.72574; Position: (0.0, 0.0, -0.1); Rotation: (0.1, 0.8, -0.3, 0.5)
Time: 49.22619; Position: (0.3, 0.0, -0.1); Rotation: (0.1, 0.8, -0.3, 0.5)
Time: 49.72646; Position: (0.5, 0.0, 0.0); Rotation: (0.1, 0.9, -0.3, 0.4)
Time: 50.24336; Position: (0.7, 0.0, -0.2); Rotation: (0.0, 0.8, -0.3, 0.4)
Time: 50.75981; Position: (0.9, 0.0, -0.1); Rotation: (0.0, 0.9, -0.3, 0.3)
Time: 51.27618; Position: (1.1, 0.0, 0.1); Rotation: (0.0, 0.9, -0.4, 0.2)
Time: 51.77634; Position: (1.3, 0.0, -0.1); Rotation: (0.0, 0.9, -0.4, 0.1)
Time: 52.29338; Position: (1.5, 0.0, -0.2); Rotation: (-0.1, 0.9, -0.4, 0.0)
Time: 52.81066; Position: (1.7, 0.0, 0.0); Rotation: (-0.2, 0.9, -0.3, -0.2)
Time: 53.32661; Position: (1.7, 0.0, 0.0); Rotation: (-0.2, 0.9, -0.3, -0.2)
Time: 53.8432; Position: (1.7, 0.0, 0.0); Rotation: (-0.2, 0.9, -0.3, -0.2)
Time: 54.35957; Position: (1.4, 0.0, 0.1); Rotation: (-0.2, 0.9, -0.3, -0.2)
Time: 54.85971; Position: (1.2, 0.0, 0.1); Rotation: (-0.1, 0.9, -0.3, -0.1)
Time: 55.36029; Position: (1.1, 0.0, -0.1); Rotation: (0.0, 0.9, -0.4, -0.1)
Time: 55.87741; Position: (0.8, 0.0, -0.2); Rotation: (0.1, 0.9, -0.4, 0.2)
Time: 56.39277; Position: (0.5, 0.0, -0.1); Rotation: (0.1, 0.9, -0.3, 0.4)
Time: 56.8933; Position: (0.3, 0.0, 0.0); Rotation: (0.1, 0.9, -0.2, 0.4)
Time: 57.40982; Position: (0.0, 0.0, -0.1); Rotation: (0.1, 0.8, -0.2, 0.5)
Time: 57.9263; Position: (-0.2, 0.0, -0.1); Rotation: (0.1, 0.8, -0.2, 0.5)
Time: 58.42643; Position: (-0.4, 0.0, 0.0); Rotation: (0.1, 0.8, -0.2, 0.5)
