Time: 3.485253; Position: (0.0, 0.0, 0.0); Rotation: (0.0, 0.0, 0.0, 1.0)
Time: 3.995815; Position: (0.0, 0.0, 0.1); Rotation: (0.2, 0.0, 0.0, 1.0)
Time: 4.496148; Position: (0.0, 0.0, 0.1); Rotation: (0.3, 0.1, 0.0, 1.0)
Time: 5.012459; Position: (0.0, 0.0, 0.1); Rotation: (0.3, 0.1, -0.1, 0.9)
Time: 5.528603; Position: (0.0, 0.0, 0.1); Rotation: (0.3, 0.1, -0.1, 0.9)
Time: 6.029275; Position: (0.0, 0.0, 0.1); Rotation: (0.3, 0.1, -0.1, 1.0)
Time: 6.529343; Position: (0.0, 0.0, 0.1); Rotation: (0.3, 0.0, 0.0, 0.9)
Time: 7.046123; Position: (-0.1, 0.0, 0.1); Rotation: (0.2, -0.3, 0.0, 0.9)
Time: 7.562447; Position: (0.0, 0.0, 0.1); Rotation: (0.4, -0.3, 0.1, 0.9)
Time: 8.062533; Position: (0.0, 0.0, 0.2); Rotation: (0.2, -0.1, 0.0, 1.0)
Time: 8.57886; Position: (0.0, 0.0, 0.2); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 9.07927; Position: (0.0, 0.0, 0.1); Rotation: (0.2, 0.2, -0.1, 0.9)
Time: 9.5958; Position: (0.0, 0.0, 0.1); Rotation: (0.3, 0.3, -0.1, 0.9)
Time: 10.09603; Position: (0.0, 0.0, 0.1); Rotation: (0.4, 0.2, -0.1, 0.9)
Time: 10.59644; Position: (0.0, 0.0, 0.0); Rotation: (0.2, 0.0, 0.0, 1.0)
Time: 11.11369; Position: (0.2, 0.1, -0.2); Rotation: (0.1, 0.0, 0.0, 1.0)
Time: 11.62914; Position: (0.1, 0.0, -0.4); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 12.13527; Position: (-0.1, 0.1, -0.5); Rotation: (0.1, 0.1, 0.0, 1.0)
Time: 12.6465; Position: (-0.1, 0.1, -0.6); Rotation: (0.1, 0.1, 0.0, 1.0)
Time: 13.15992; Position: (-0.1, 0.1, -0.5); Rotation: (0.1, 0.1, 0.0, 1.0)
Time: 13.67642; Position: (-0.1, 0.1, -0.6); Rotation: (0.1, 0.1, 0.0, 1.0)
Time: 14.17695; Position: (-0.1, 0.0, -0.6); Rotation: (0.1, 0.1, -0.1, 1.0)
Time: 14.69316; Position: (-0.1, 0.0, -0.6); Rotation: (0.1, 0.2, -0.1, 1.0)
Time: 15.1946; Position: (-0.1, 0.0, -0.6); Rotation: (0.1, 0.1, -0.1, 1.0)
Time: 15.71783; Position: (-0.1, 0.0, -0.6); Rotation: (0.1, -0.1, -0.1, 1.0)
Time: 16.2283; Position: (-0.1, 0.0, -0.6); Rotation: (0.1, -0.1, -0.1, 1.0)
Time: 16.7443; Position: (-0.1, 0.0, -0.6); Rotation: (0.1, -0.1, -0.1, 1.0)
Time: 17.25972; Position: (-0.1, 0.0, -0.6); Rotation: (0.1, -0.1, -0.1, 1.0)
Time: 17.76061; Position: (-0.1, 0.1, -0.6); Rotation: (0.1, 0.0, -0.1, 1.0)
Time: 18.27767; Position: (-0.1, 0.1, -0.6); Rotation: (0.1, 0.1, -0.1, 1.0)
Time: 18.7938; Position: (-0.1, 0.1, -0.6); Rotation: (0.1, 0.1, -0.1, 1.0)
Time: 19.29529; Position: (-0.1, 0.1, -0.6); Rotation: (0.1, 0.1, -0.1, 1.0)
Time: 19.81061; Position: (-0.1, 0.1, -0.6); Rotation: (0.1, 0.1, -0.1, 1.0)
Time: 20.32644; Position: (-0.1, 0.1, -0.6); Rotation: (0.1, 0.1, -0.1, 1.0)
Time: 20.82715; Position: (-0.1, 0.0, -0.6); Rotation: (0.2, 0.2, -0.1, 1.0)
Time: 21.32738; Position: (-0.1, 0.0, -0.6); Rotation: (0.2, 0.2, -0.1, 1.0)
Time: 21.82851; Position: (-0.1, 0.0, -0.6); Rotation: (0.2, 0.2, -0.1, 1.0)
Time: 22.34465; Position: (-0.1, 0.0, -0.6); Rotation: (0.2, 0.2, -0.1, 1.0)
Time: 22.86028; Position: (-0.1, 0.0, -0.6); Rotation: (0.1, 0.2, -0.1, 1.0)
Time: 23.37721; Position: (-0.1, 0.0, -0.6); Rotation: (0.1, 0.2, -0.1, 1.0)
Time: 23.89356; Position: (-0.1, 0.0, -0.6); Rotation: (0.1, 0.2, -0.1, 1.0)
Time: 24.39449; Position: (-0.1, 0.0, -0.6); Rotation: (0.1, 0.2, -0.1, 1.0)
Time: 24.9155; Position: (-0.1, 0.0, -0.6); Rotation: (0.1, 0.2, -0.1, 1.0)
Time: 25.42693; Position: (-0.1, 0.0, -0.6); Rotation: (0.1, 0.2, -0.1, 1.0)
Time: 25.94353; Position: (-0.1, 0.0, -0.6); Rotation: (0.1, 0.2, -0.1, 1.0)
Time: 26.4602; Position: (-0.1, 0.0, -0.6); Rotation: (0.1, 0.2, -0.1, 1.0)
Time: 26.97701; Position: (0.0, 0.0, -0.6); Rotation: (0.1, 0.2, -0.1, 1.0)
Time: 27.47711; Position: (0.0, 0.0, -0.6); Rotation: (0.1, 0.2, -0.1, 1.0)
Time: 27.99385; Position: (0.0, 0.0, -0.6); Rotation: (0.1, 0.2, -0.1, 1.0)
Time: 28.49413; Position: (0.0, 0.0, -0.6); Rotation: (0.1, 0.2, -0.1, 1.0)
Time: 29.01197; Position: (0.0, 0.0, -0.6); Rotation: (0.1, 0.2, -0.1, 1.0)
Time: 29.52721; Position: (0.0, 0.0, -0.6); Rotation: (0.1, 0.2, -0.1, 1.0)
Time: 30.02739; Position: (0.0, 0.0, -0.6); Rotation: (0.2, 0.2, -0.1, 1.0)
Time: 30.52759; Position: (0.0, 0.0, -0.6); Rotation: (0.2, 0.2, -0.1, 1.0)
Time: 31.02967; Position: (-0.1, 0.0, -0.6); Rotation: (0.3, -0.1, 0.0, 1.0)
Time: 31.54297; Position: (-0.1, 0.0, -0.6); Rotation: (0.3, -0.2, 0.0, 0.9)
Time: 32.05972; Position: (-0.2, 0.0, -0.6); Rotation: (0.4, -0.3, 0.1, 0.9)
Time: 32.5762; Position: (-0.2, 0.0, -0.6); Rotation: (0.4, -0.3, 0.1, 0.9)
Time: 33.07784; Position: (-0.1, 0.0, -0.5); Rotation: (0.2, -0.1, 0.0, 1.0)
Time: 33.59412; Position: (-0.1, 0.0, -0.5); Rotation: (0.2, 0.1, 0.0, 1.0)
Time: 34.11039; Position: (0.0, 0.0, -0.3); Rotation: (0.2, 0.2, -0.1, 1.0)
Time: 34.62648; Position: (0.2, 0.0, -0.1); Rotation: (0.3, 0.2, -0.1, 0.9)
Time: 35.14277; Position: (0.2, 0.0, -0.1); Rotation: (0.3, 0.2, -0.1, 0.9)
Time: 35.64325; Position: (0.2, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 36.15997; Position: (0.2, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 36.66011; Position: (0.1, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 37.16021; Position: (0.1, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 37.67689; Position: (0.1, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 38.17719; Position: (0.1, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 38.69354; Position: (0.1, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 39.21089; Position: (0.1, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 39.72704; Position: (0.1, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
